Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Input Ortholog(s)
LMJFC_030010100	LMJFC_030010100_t1	Leishmania major Friedlin 2021	OU755537:182,311..190,506(+)	hypothetical protein - conserved	LmxM.03.0510
LMJFC_030010300	LMJFC_030010300_t1	Leishmania major Friedlin 2021	OU755537:194,131..202,378(+)	hypothetical protein - conserved	LmxM.03.0530
LMJFC_040017900	LMJFC_040017900_t1	Leishmania major Friedlin 2021	OU755538:421,894..426,926(-)	hypothetical protein - conserved	LmxM.04.1090
LMJFC_040018400	LMJFC_040018400_t1	Leishmania major Friedlin 2021	OU755538:438,525..439,837(-)	hypothetical protein - conserved	LmxM.04.1140
LMJFC_050014000	LMJFC_050014000_t1	Leishmania major Friedlin 2021	OU755539:290,215..294,849(+)	hypothetical protein - conserved	LmxM.05.0770
LMJFC_080012300	LMJFC_080012300_t1	Leishmania major Friedlin 2021	OU755542:285,818..289,079(+)	amastin-like protein	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_080012400	LMJFC_080012400_t1	Leishmania major Friedlin 2021	OU755542:289,292..290,916(+)	hypothetical protein	LmxM.33.1590
LMJFC_080012500	LMJFC_080012500_t1	Leishmania major Friedlin 2021	OU755542:291,707..294,976(+)	amastin-like protein	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_080012600	LMJFC_080012600_t1	Leishmania major Friedlin 2021	OU755542:295,189..296,811(+)	hypothetical protein	LmxM.33.1590
LMJFC_080012700	LMJFC_080012700_t1	Leishmania major Friedlin 2021	OU755542:297,597..300,862(+)	amastin-like protein	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_080012800	LMJFC_080012800_t1	Leishmania major Friedlin 2021	OU755542:301,075..302,697(+)	hypothetical protein	LmxM.33.1590
LMJFC_080012900	LMJFC_080012900_t1	Leishmania major Friedlin 2021	OU755542:303,487..306,732(+)	amastin-like protein	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_080013000	LMJFC_080013000_t1	Leishmania major Friedlin 2021	OU755542:306,945..308,567(+)	hypothetical protein	LmxM.33.1590
LMJFC_080013100	LMJFC_080013100_t1	Leishmania major Friedlin 2021	OU755542:309,357..312,604(+)	amastin-like protein	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_090021200	LMJFC_090021200_t1	Leishmania major Friedlin 2021	OU755543:531,551..533,571(-)	Glycosyl hydrolase family 47 -  putative	LmxM.09.1400
LMJFC_100005300	LMJFC_100005300_t1	Leishmania major Friedlin 2021	OU755544:6,840..10,015(-)	phosphate-Repressible Phosphate Permease-like protein	LmxM.03.0500
LMJFC_100014600	LMJFC_100014600_t1	Leishmania major Friedlin 2021	OU755544:338,792..342,645(-)	amino acid permease 24 - putative	LmxM.10.0720
LMJFC_100014700	LMJFC_100014700_t1	Leishmania major Friedlin 2021	OU755544:342,947..345,971(-)	Neutral amino acid transporter|LiAAP24|AAT20.2	LmxM.10.0720
LMJFC_100021900	LMJFC_100021900_t1	Leishmania major Friedlin 2021	OU755544:549,446..552,854(+)	phosphate-Repressible Phosphate Permease-like protein	LmxM.03.0500
LMJFC_110017500	LMJFC_110017500_t1	Leishmania major Friedlin 2021	OU755545:417,111..426,162(+)	hypothetical protein - conserved	LmxM.11.1020
LMJFC_110018200	LMJFC_110018200_t1	Leishmania major Friedlin 2021	OU755545:461,977..465,164(+)	palmitoyl acyltransferase 7 - putative	LmxM.11.1090
LMJFC_110018300	LMJFC_110018300_t1	Leishmania major Friedlin 2021	OU755545:465,498..470,088(+)	sterol 14-alpha-demethylase - putative	LmxM.11.1100
LMJFC_110018700	LMJFC_110018700_t1	Leishmania major Friedlin 2021	OU755545:475,676..481,418(+)	protein transport protein SEC31 - putative	LmxM.11.1160
LMJFC_110019400	LMJFC_110019400_t1	Leishmania major Friedlin 2021	OU755545:499,113..508,511(+)	ATP-binding cassette subfamily A - member 1 - putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJFC_110019600	LMJFC_110019600_t1	Leishmania major Friedlin 2021	OU755545:511,061..518,764(+)	ATP-binding cassette subfamily A member|ABCA3	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJFC_110019800	LMJFC_110019800_t1	Leishmania major Friedlin 2021	OU755545:519,975..529,369(+)	ATP-binding cassette protein subfamily A member 4 putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJFC_110020000	LMJFC_110020000_t1	Leishmania major Friedlin 2021	OU755545:532,205..543,399(+)	ATP-binding cassette subfamily A - member 1 - putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJFC_110020200	LMJFC_110020200_t1	Leishmania major Friedlin 2021	OU755545:545,850..555,386(+)	ATP-binding cassette subfamily A - member 1 - putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJFC_110020800	LMJFC_110020800_t1	Leishmania major Friedlin 2021	OU755545:572,171..573,660(+)	hypothetical protein - conserved	LmxM.11.1350
LMJFC_110021300	LMJFC_110021300_t1	Leishmania major Friedlin 2021	OU755545:580,557..581,869(+)	SH3 domain/Variant SH3 domain containing protein - putative	LmxM.11.1380
LMJFC_120014800	LMJFC_120014800_t1	Leishmania major Friedlin 2021	OU755546:384,859..390,529(+)	surface antigen protein 2 - putative	LmxM.12.0890
LMJFC_120015000	LMJFC_120015000_t1	Leishmania major Friedlin 2021	OU755546:394,455..399,434(+)	surface antigen protein putative	LmxM.12.0890
LMJFC_120015200	LMJFC_120015200_t1	Leishmania major Friedlin 2021	OU755546:403,245..408,224(+)	surface antigen protein putative	LmxM.12.0890
LMJFC_120015400	LMJFC_120015400_t1	Leishmania major Friedlin 2021	OU755546:412,207..416,004(+)	surface antigen protein 2 precursor	LmxM.12.0890
LMJFC_120015600	LMJFC_120015600_t1	Leishmania major Friedlin 2021	OU755546:420,196..423,358(+)	surface antigen protein 2 putative	LmxM.12.0890
LMJFC_120015800	LMJFC_120015800_t1	Leishmania major Friedlin 2021	OU755546:427,481..431,989(+)	promastigote surface antigen protein 2 PSA2	LmxM.12.0890
LMJFC_120016000	LMJFC_120016000_t1	Leishmania major Friedlin 2021	OU755546:436,113..436,815(+)	hypothetical protein	LmxM.12.0890
LMJFC_120016300	LMJFC_120016300_t1	Leishmania major Friedlin 2021	OU755546:445,014..445,907(+)	surface antigen protein 2 putative	LmxM.12.0890
LMJFC_120016350	LMJFC_120016350_t1	Leishmania major Friedlin 2021	OU755546:446,111..446,677(+)	surface antigen protein 2 putative	LmxM.12.0890
LMJFC_120016500	LMJFC_120016500_t1	Leishmania major Friedlin 2021	OU755546:453,612..456,689(+)	surface antigen protein 2 - putative	LmxM.12.0890
LMJFC_120016700	LMJFC_120016700_t1	Leishmania major Friedlin 2021	OU755546:460,670..463,909(+)	surface antigen protein 2 putative	LmxM.12.0890
LMJFC_120016900	LMJFC_120016900_t1	Leishmania major Friedlin 2021	OU755546:468,090..471,295(+)	surface antigen protein 2 putative	LmxM.12.0890
LMJFC_120017100	LMJFC_120017100_t1	Leishmania major Friedlin 2021	OU755546:475,410..477,877(+)	promastigote surface antigen 38S	LmxM.12.0890
LMJFC_120017500	LMJFC_120017500_t1	Leishmania major Friedlin 2021	OU755546:488,761..492,254(+)	surface antigen protein 2 putative	LmxM.12.0890
LMJFC_120017700	LMJFC_120017700_t1	Leishmania major Friedlin 2021	OU755546:495,936..500,821(+)	surface antigen protein 2 putative	LmxM.12.0890
LMJFC_130016400	LMJFC_130016400_t1	Leishmania major Friedlin 2021	OU755547:367,230..375,205(-)	hypothetical protein - conserved	LmxM.13.1080
LMJFC_150005700	LMJFC_150005700_t1	Leishmania major Friedlin 2021	OU755549:21,528..24,178(-)	hypothetical protein - conserved	LmxM.15.0070
LMJFC_150006900	LMJFC_150006900_t1	Leishmania major Friedlin 2021	OU755549:56,826..61,383(-)	zinc finger (CCCH type) protein - putative	LmxM.15.0160
LMJFC_150009100	LMJFC_150009100_t1	Leishmania major Friedlin 2021	OU755549:112,747..116,080(+)	hypothetical protein - conserved	LmxM.15.0290
LMJFC_150009300	LMJFC_150009300_t1	Leishmania major Friedlin 2021	OU755549:118,458..122,005(+)	hypothetical protein - conserved	LmxM.15.0310
LMJFC_150010800	LMJFC_150010800_t1	Leishmania major Friedlin 2021	OU755549:220,453..223,063(+)	hypothetical protein - conserved	LmxM.15.0490
LMJFC_150010900	LMJFC_150010900_t1	Leishmania major Friedlin 2021	OU755549:223,361..227,101(+)	katanin-like|serine peptidase Clan SJ family S16 putative	LmxM.15.0500
LMJFC_150011200	LMJFC_150011200_t1	Leishmania major Friedlin 2021	OU755549:232,663..239,959(+)	hypothetical protein - conserved	LmxM.15.0530
LMJFC_150011300	LMJFC_150011300_t1	Leishmania major Friedlin 2021	OU755549:240,298..243,617(+)	hypothetical protein - conserved	LmxM.15.0540
LMJFC_150012500	LMJFC_150012500_t1	Leishmania major Friedlin 2021	OU755549:278,134..284,981(+)	hypothetical protein - conserved	LmxM.15.0630
LMJFC_150014400	LMJFC_150014400_t1	Leishmania major Friedlin 2021	OU755549:352,487..361,363(-)	ATP-binding cassette subfamily A - member 1 - putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJFC_160010100	LMJFC_160010100_t2	Leishmania major Friedlin 2021	OU755550:151,416..156,362(-)	fucose kinase - putative	LmxM.16.0480
LMJFC_160010800	LMJFC_160010800_t2	Leishmania major Friedlin 2021	OU755550:167,232..171,691(-)	fucose kinase - putative	LmxM.16.0480
LMJFC_160014200	LMJFC_160014200_t2	Leishmania major Friedlin 2021	OU755550:267,690..270,530(-)	transaldolase - putative	LmxM.16.0760
LMJFC_170007600	LMJFC_170007600_t1	Leishmania major Friedlin 2021	OU755551:54,671..62,614(-)	receptor-type adenylate cyclase - putative	LmxM.17.0190,LmxM.17.0200
LMJFC_170007800	LMJFC_170007800_t1	Leishmania major Friedlin 2021	OU755551:67,162..75,897(-)	receptor-type adenylate cyclase - putative	LmxM.17.0190,LmxM.17.0200
LMJFC_170007900	LMJFC_170007900_t1	Leishmania major Friedlin 2021	OU755551:76,565..83,325(-)	receptor-type adenylate cyclase a	LmxM.17.0190,LmxM.17.0200
LMJFC_170008000	LMJFC_170008000_t1	Leishmania major Friedlin 2021	OU755551:83,464..89,054(-)	receptor-type adenylate cyclase - putative	LmxM.17.0190,LmxM.17.0200
LMJFC_170008100	LMJFC_170008100_t1	Leishmania major Friedlin 2021	OU755551:89,585..94,783(-)	receptor-type adenylate cyclase - putative	LmxM.17.0190,LmxM.17.0200
LMJFC_170008200	LMJFC_170008200_t1	Leishmania major Friedlin 2021	OU755551:95,114..100,512(-)	receptor-type adenylate cyclase - putative	LmxM.17.0190,LmxM.17.0200
LMJFC_170012800	LMJFC_170012800_t1	Leishmania major Friedlin 2021	OU755551:281,004..285,529(-)	hypothetical protein - conserved	LmxM.17.0530
LMJFC_170023900	LMJFC_170023900_t1	Leishmania major Friedlin 2021	OU755551:678,488..683,503(+)	Ion transport protein - putative	LmxM.17.1440
LMJFC_200018200	LMJFC_200018200_t1	Leishmania major Friedlin 2021	OU755554:493,571..505,705(+)	phosphatidylinositol 3-kinase - putative	LmxM.20.1120
LMJFC_200022700	LMJFC_200022700_t1	Leishmania major Friedlin 2021	OU755554:666,576..669,784(-)	hypothetical protein - conserved	LmxM.20.1500
LMJFC_210010600	LMJFC_210010600_t1	Leishmania major Friedlin 2021	OU755555:137,839..139,691(+)	hypothetical protein - conserved	LmxM.21.0430
LMJFC_220020600	LMJFC_220020600_t1	Leishmania major Friedlin 2021	OU755556:558,701..569,016(-)	hypothetical protein - conserved	LmxM.22.1330
LMJFC_220020800	LMJFC_220020800_t1	Leishmania major Friedlin 2021	OU755556:573,147..575,076(-)	palmitoyl acyltransferase 11 - putative	LmxM.11.1090
LMJFC_220024600	LMJFC_220024600_t1	Leishmania major Friedlin 2021	OU755556:683,010..684,520(+)	CobW/HypB/UreG - nucleotide-binding domain containing protein - putative	LmxM.22.1650
LMJFC_230015400	LMJFC_230015400_t1	Leishmania major Friedlin 2021	OU755557:306,823..311,682(-)	hypothetical protein - conserved	LmxM.23.0640
LMJFC_230028300	LMJFC_230028300_t1	Leishmania major Friedlin 2021	OU755557:746,925..750,677(+)	hypothetical protein - conserved	LmxM.23.1540
LMJFC_230028400	LMJFC_230028400_t1	Leishmania major Friedlin 2021	OU755557:751,117..755,000(+)	hypothetical protein - conserved	LmxM.23.1550
LMJFC_240006100	LMJFC_240006100_t1	Leishmania major Friedlin 2021	OU755558:19,165..20,546(+)	Calmodulin-binding - putative	LmxM.24.0100
LMJFC_240010500	LMJFC_240010500_t1	Leishmania major Friedlin 2021	OU755558:161,105..162,905(+)	hypothetical protein - conserved	LmxM.24.0470
LMJFC_240010700	LMJFC_240010700_t1	Leishmania major Friedlin 2021	OU755558:166,098..170,208(+)	Kelch motif/Galactose oxidase - central domain containing protein - putative	LmxM.24.0480
LMJFC_240013000	LMJFC_240013000_t1	Leishmania major Friedlin 2021	OU755558:244,341..245,422(+)	hypothetical protein - conserved	LmxM.24.0690
LMJFC_240033300	LMJFC_240033300_t1	Leishmania major Friedlin 2021	OU755558:839,504..841,107(+)	SpoU rRNA Methylase family - putative	LmxM.24.2340
LMJFC_260012800	LMJFC_260012800_t1	Leishmania major Friedlin 2021	OU755560:193,302..198,708(-)	sphingosine kinase A - B - putative	LmxM.26.0710
LMJFC_260030100	LMJFC_260030100_t1	Leishmania major Friedlin 2021	OU755560:828,915..841,886(+)	hypothetical protein - conserved	LmxM.26.2120
LMJFC_270010400	LMJFC_270010400_t1	Leishmania major Friedlin 2021	OU755561:140,144..162,873(+)	calpain-like cysteine peptidase - putative	LmxM.15.0440
LMJFC_270010500	LMJFC_270010500_t1	Leishmania major Friedlin 2021	OU755561:163,431..191,448(+)	calpain-like cysteine peptidase	LmxM.15.0440
LMJFC_270010700	LMJFC_270010700_t1	Leishmania major Friedlin 2021	OU755561:193,166..216,013(+)	calpain-like cysteine peptidase	LmxM.15.0440
LMJFC_270012600	LMJFC_270012600_t1	Leishmania major Friedlin 2021	OU755561:263,887..269,695(+)	amino acid transporter aATP11 - putative	LmxM.30.0350
LMJFC_270012700	LMJFC_270012700_t1	Leishmania major Friedlin 2021	OU755561:270,136..276,035(+)	amino acid transporter - putative	LmxM.27.0680
LMJFC_270016500	LMJFC_270016500_t1	Leishmania major Friedlin 2021	OU755561:410,577..422,589(-)	ATP-binding cassette protein subfamily A member 8 (ABCA8)	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJFC_270016700	LMJFC_270016700_t1	Leishmania major Friedlin 2021	OU755561:424,218..434,159(-)	ATP-binding cassette subfamily A - member 1 - putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJFC_270028300	LMJFC_270028300_t1	Leishmania major Friedlin 2021	OU755561:822,414..826,910(-)	mitoribosomal protein mS49	LmxM.27.1895
LMJFC_290012100	LMJFC_290012100_t1	Leishmania major Friedlin 2021	OU755563:226,965..239,311(-)	ATP-binding cassette subfamily A - member 1 - putative	LmxM.11.1220,LmxM.11.1240,LmxM.11.1290
LMJFC_290012400	LMJFC_290012400_t1	Leishmania major Friedlin 2021	OU755563:242,735..245,928(-)	phosphate transporter - putative	LmxM.03.0500
LMJFC_290029700	LMJFC_290029700_t1	Leishmania major Friedlin 2021	OU755563:883,580..888,728(-)	5'-AMP-activated protein kinase catalytic subunit alpha - putative	LmxM.08_29.2020
LMJFC_300017700	LMJFC_300017700_t1	Leishmania major Friedlin 2021	OU755564:350,444..361,735(+)	IQ calmodulin-binding motif containing protein - putative	LmxM.29.1080
LMJFC_300019500	LMJFC_300019500_t1	Leishmania major Friedlin 2021	OU755564:422,746..424,658(+)	calcium-binding protein - putative	LmxM.29.1240
LMJFC_310005200	LMJFC_310005200_t1	Leishmania major Friedlin 2021	OU755565:2,113..5,265(-)	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase
LMJFC_310005400	LMJFC_310005400_t1	Leishmania major Friedlin 2021	OU755565:9,035..12,453(-)	RING-variant domain containing protein - putative	LmxM.30.0030
LMJFC_310008300	LMJFC_310008300_t1	Leishmania major Friedlin 2021	OU755565:73,545..74,882(-)	Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter - putative	LmxM.30.0280
LMJFC_310008700	LMJFC_310008700_t1	Leishmania major Friedlin 2021	OU755565:88,113..91,833(-)	amino acid transporter - putative	LmxM.27.0680
LMJFC_310008800	LMJFC_310008800_t1	Leishmania major Friedlin 2021	OU755565:92,266..96,570(-)	amino acid transporter|AAT1.1	LmxM.30.0350
LMJFC_310009000	LMJFC_310009000_t1	Leishmania major Friedlin 2021	OU755565:99,230..104,231(-)	amino acid transporter aATP11 - putative	LmxM.30.0350
LMJFC_310009100	LMJFC_310009100_t1	Leishmania major Friedlin 2021	OU755565:104,774..109,186(-)	amino acid transporter|AAT1.3	LmxM.30.0350
LMJFC_310009200	LMJFC_310009200_t1	Leishmania major Friedlin 2021	OU755565:109,668..114,630(-)	CRAL/TRIO domain containing protein - putative	LmxM.30.0360
LMJFC_310010200	LMJFC_310010200_t1	Leishmania major Friedlin 2021	OU755565:149,364..152,485(-)	Amastin surface glycoprotein - putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_310010400	LMJFC_310010400_t1	Leishmania major Friedlin 2021	OU755565:155,654..158,778(-)	Amastin surface glycoprotein - putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_310015100	LMJFC_310015100_t1	Leishmania major Friedlin 2021	OU755565:294,210..297,694(-)	hypothetical protein - conserved	LmxM.30.0800,LmxM.30.0820
LMJFC_310015200	LMJFC_310015200_t1	Leishmania major Friedlin 2021	OU755565:298,028..300,917(-)	hypothetical protein - conserved	LmxM.30.0800,LmxM.30.0820
LMJFC_310015300	LMJFC_310015300_t1	Leishmania major Friedlin 2021	OU755565:301,292..305,844(-)	hypothetical protein - conserved	LmxM.30.0800,LmxM.30.0820
LMJFC_310036600	LMJFC_310036600_t1	Leishmania major Friedlin 2021	OU755565:1,138,518..1,146,125(-)	hypothetical protein - conserved	LmxM.30.2220
LMJFC_310047200	LMJFC_310047200_t1	Leishmania major Friedlin 2021	OU755565:1,466,424..1,469,185(-)	iron/zinc transporter protein-like protein	LmxM.30.3060,LmxM.30.3070
LMJFC_310047400	LMJFC_310047400_t1	Leishmania major Friedlin 2021	OU755565:1,470,211..1,473,410(-)	iron/zinc transporter protein-like protein	LmxM.30.3060,LmxM.30.3070
LMJFC_320028100	LMJFC_320028100_t1	Leishmania major Friedlin 2021	OU755566:745,124..747,812(-)	hypothetical protein - conserved	LmxM.31.1910
LMJFC_330021300	LMJFC_330021300_t1	Leishmania major Friedlin 2021	OU755567:505,264..507,667(+)	Succinate dehydrogenase subunit 4|SDH4	LmxM.32.1160
LMJFC_330022000	LMJFC_330022000_t1	Leishmania major Friedlin 2021	OU755567:527,886..530,443(+)	Transition zone protein 50|TZP50	LmxM.32.1240
LMJFC_330022100	LMJFC_330022100_t1	Leishmania major Friedlin 2021	OU755567:530,807..534,000(+)	WD domain - G-beta repeat - putative	LmxM.32.1240
LMJFC_330025900	LMJFC_330025900_t1	Leishmania major Friedlin 2021	OU755567:678,606..692,822(+)	hypothetical protein - conserved	LmxM.32.1490
LMJFC_330046900	LMJFC_330046900_t1	Leishmania major Friedlin 2021	OU755567:1,460,700..1,472,315(+)	hypothetical protein - conserved	LmxM.32.3070partial
LMJFC_330046950	LMJFC_330046950_t1	Leishmania major Friedlin 2021	OU755567:1,472,410..1,486,710(+)	hypothetical protein - conserved	LmxM.32.3070partial
LMJFC_330048200	LMJFC_330048200_t1	Leishmania major Friedlin 2021	OU755567:1,530,112..1,533,510(+)	beta prime cop protein - putative	LmxM.32.3210
LMJFC_330048500	LMJFC_330048500_t1	Leishmania major Friedlin 2021	OU755567:1,536,553..1,538,491(+)	hypothetical protein - conserved	LmxM.32.3220
LMJFC_340025300	LMJFC_340025300_t1	Leishmania major Friedlin 2021	OU755568:715,584..718,722(-)	amastin-like surface protein putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_340025400	LMJFC_340025400_t1	Leishmania major Friedlin 2021	OU755568:718,723..722,529(-)	tuzin-like protein	LmxM.33.1590
LMJFC_340025500	LMJFC_340025500_t1	Leishmania major Friedlin 2021	OU755568:722,853..725,985(-)	amastin-like surface protein putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_340025600	LMJFC_340025600_t1	Leishmania major Friedlin 2021	OU755568:726,641..729,792(-)	tuzin-like protein	LmxM.33.1590
LMJFC_340025700	LMJFC_340025700_t1	Leishmania major Friedlin 2021	OU755568:730,116..733,250(-)	amastin-like surface protein putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_340025800	LMJFC_340025800_t1	Leishmania major Friedlin 2021	OU755568:733,937..737,057(-)	tuzin-like protein	LmxM.33.1590
LMJFC_340025900	LMJFC_340025900_t1	Leishmania major Friedlin 2021	OU755568:737,381..740,519(-)	amastin-like surface protein putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_340026000	LMJFC_340026000_t1	Leishmania major Friedlin 2021	OU755568:740,959..744,326(-)	tuzin-like protein	LmxM.33.1590
LMJFC_340026100	LMJFC_340026100_t1	Leishmania major Friedlin 2021	OU755568:744,643..747,786(-)	amastin-like surface protein - putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_340026200	LMJFC_340026200_t1	Leishmania major Friedlin 2021	OU755568:748,226..751,863(-)	tuzin-like protein	LmxM.33.1590
LMJFC_340026300	LMJFC_340026300_t1	Leishmania major Friedlin 2021	OU755568:752,180..755,337(-)	amastin-like surface protein - putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_340026400	LMJFC_340026400_t1	Leishmania major Friedlin 2021	OU755568:756,031..759,412(-)	tuzin-like protein	LmxM.33.1590
LMJFC_340026500	LMJFC_340026500_t1	Leishmania major Friedlin 2021	OU755568:759,736..762,892(-)	amastin-like surface protein - putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_340026600	LMJFC_340026600_t1	Leishmania major Friedlin 2021	OU755568:763,586..766,958(-)	tuzin-like protein	LmxM.33.1590
LMJFC_340026700	LMJFC_340026700_t1	Leishmania major Friedlin 2021	OU755568:767,282..770,419(-)	amastin surface glycoprotein putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_340026800	LMJFC_340026800_t1	Leishmania major Friedlin 2021	OU755568:771,075..774,494(-)	tuzin-like protein	LmxM.33.1590
LMJFC_340026900	LMJFC_340026900_t1	Leishmania major Friedlin 2021	OU755568:774,818..777,955(-)	amastin-like surface protein putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_340027000	LMJFC_340027000_t1	Leishmania major Friedlin 2021	OU755568:778,395..782,029(-)	tuzin-like protein	LmxM.33.1590
LMJFC_340027100	LMJFC_340027100_t1	Leishmania major Friedlin 2021	OU755568:782,353..785,483(-)	amastin-like surface protein putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_340027200	LMJFC_340027200_t1	Leishmania major Friedlin 2021	OU755568:785,908..789,561(-)	tuzin-like protein	LmxM.33.1590
LMJFC_340027300	LMJFC_340027300_t1	Leishmania major Friedlin 2021	OU755568:789,885..793,024(-)	amastin-like surface protein putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
LMJFC_340027400	LMJFC_340027400_t1	Leishmania major Friedlin 2021	OU755568:793,718..797,100(-)	tuzin-like protein	LmxM.33.1590
LMJFC_340027500	LMJFC_340027500_t1	Leishmania major Friedlin 2021	OU755568:797,424..800,569(-)	amastin-like surface protein putative	LmxM.08.0720,LmxM.30.0450a,LmxM.30.0450c,LmxM.30.0450d,LmxM.30.0450e,LmxM.30.0450h,LmxM.33.1900
